AACTS-BA,Actuarial Science
AACTS-BS,Actuarial Science
AACTS-MAJ,Actuarial Science
AACTS-MIN,Actuarial Science
AAEN-MIN,Agricultural Economics
ABIOC-BS,Biochemistry
ABIOC-MAJ,Biochemistry
ABIOC-MIN,Biochemistry
ABSE-GMAJ,Agricultural & Biological Systems Engineering
ABSE-GMIN,Agricultural & Biological Systems Engineering
ABSE-MS,Agricultural & Biological Systems Engineering
ABUS-B1AB,Agribusiness
ABUS-BSAG,Agribusiness
ABUS-BSAS,Agribusiness
ABUS-MAJ,Agribusiness
ABUS-MIN,Agribusiness
ACCG-BSBA,Accounting
ACCG-MAJ,Accounting
ACCG-MIN,Accounting
ACCT-DNKN,Accountancy
ACCT-GMIN,Accountancy
ACCT-MPAC,Accountancy
ACCT-NDEG,Accountancy
ACTS-BSBA,Actuarial Science
ACTS-GMAJ,Actuarial Science
ACTS-GMIN,Actuarial Science
ACTS-MAJ,Actuarial Science
ACTS-MS,Actuarial Science
ADCE-GMAJ,Adult and Continuing Education
ADCE-GMIN,Adult and Continuing Education
ADCE-MA,Adult and Continuing Education
ADCI-DNKN,"Education-Administration, Curriculum & Instruction"
ADCI-EDD,"Education-Administration, Curriculum & Instruction"
ADCI-GMAJ,"Education-Administration, Curriculum & Instruction"
ADCI-PHD,"Education-Administration, Curriculum & Instruction"
ADSF-GMAJ,Adult Education and Social Foundations
ADSF-GMIN,Adult Education and Social Foundations
ADSF-MA,Adult Education and Social Foundations
ADVA-MIN,Diversified Agriculture
ADVT-BA,Advertising
ADVT-BJ,Advertising
ADVT-MAJ,Advertising
ADVT-MIN,Advertising
AECN-B1AE,Agricultural Economics
AECN-BSAG,Agricultural Economics
AECN-BSAS,Agricultural Economics
AECN-DNKN,Agricultural Economics
AECN-GMAJ,Agricultural Economics
AECN-GMIN,Agricultural Economics
AECN-MAJ,Agricultural Economics
AECN-MIN,Agricultural Economics
AECN-MS,Agricultural Economics
AECN-PHD,Agricultural Economics
AECON-BA,Economics
AECON-BS,Economics
AECON-MAJ,Economics
AECON-MIN,Economics
AEDU-B1ED,Agricultural Education
AEDU-BSAG,Agricultural Education
AEDU-BSAS,Agricultural Education
AEDU-GMAJ,Agricultural Education
AEDU-GMIN,Agricultural Education
AEDU-MAJ,Agricultural Education
AEDU-MS,Agricultural Education
AENG-BSAE,Agricultural Engineering
AENG-GMIN,Agricultural Engineering
AENS-MIN,Environmental Studies
AENVR-BA,Environmental Studies
AENVR-BS,Environmental Studies
AENVR-MAJ,Environmental Studies
AERO-MIN,Aerospace Studies
AF001-MAJ,Mathematics
AF002-MAJ,Film Studies
AF003-MAJ,Economics
AF004-MAJ,English
AF005-MAJ,Spanish
AF006-MAJ,French
AF007-MAJ,German
AF008-MAJ,History
AF009-MAJ,Philosophy
AF010-MAJ,Political Science
AF011-MAJ,Psychology
AF012-MAJ,Communication Studies
AF013-MAJ,International Studies
AF014-MAJ,Biological Sciences
AF015-MAJ,Classics
AF016-MAJ,Chemistry
AF017-MAJ,Classics and Religious Studies
AF018-MAJ,Sociology
AF019-MAJ,Speech-Language Pathology & Audiology
AF020-MAJ,Anthropology
AF021-MAJ,Geography
AF022-MAJ,Great Plains Studies Program
AF023-MAJ,Women's & Gender Studies
AF024-MAJ,Environmental Studies
AFRI-MIN,African American Studies
AFRS-MIN,African Studies
AGER-MIN,Gerontology
AGHN-BSAG,Agricultural Honors
AGHN-BSAS,Agricultural Honors
AGHN-MAJ,Agricultural Honors
AGRI-BSAG,General Agriculture
AGRI-BSAS,General Agriculture
AGRI-MAJ,General Agriculture
AGRI-MIN,General Agriculture
AGRO-B1AG,Agronomy
AGRO-BSAG,Agronomy
AGRO-BSAS,Agronomy
AGRO-DNKN,Agronomy
AGRO-GMAJ,Agronomy
AGRO-GMIN,Agronomy
AGRO-MAJ,Agronomy
AGRO-MIN,Agronomy
AGRO-MS,Agronomy
AGRO-NDEG,Agronomy
AGRO-PHD,Agronomy
AHCR-BA,Art History and Criticism
AHCR-GMIN,Art History and Criticism
AHCR-MAJ,Art History and Criticism
AHCR-MIN,Art History and Criticism
AHIS-BA,Art and Art History
AHIS-GMIN,Art and Art History
AHIS-MAJ,Art and Art History
AHIS-MFA,Art and Art History
AHIS-MIN,Art and Art History
AINA-MIN,International Affairs
AJ001-MAJ,Mathematics
AJ002-MAJ,Film Studies
AJ003-MAJ,Economics
AJ004-MAJ,English
AJ005-MAJ,Spanish
AJ006-MAJ,French
AJ007-MAJ,German
AJ008-MAJ,History
AJ009-MAJ,Philosophy
AJ010-MAJ,Political Science
AJ011-MAJ,Psychology
AJ012-MAJ,Communication Studies
AJ013-MAJ,International Studies
AJ014-MAJ,Biological Sciences
AJ015-MAJ,Classics
AJ016-MAJ,Chemistry
AJ017-MAJ,Classics and Religious Studies
AJ018-MAJ,Sociology
AJ019-MAJ,Speech-Language Pathology & Audiology
